"rule_number","ossec_group"
"6100","solaris_bsm"
"6101","syslog"
"6101","solaris_bsm"
"6102","syslog"
"6102","solaris_bsm"
"6103","syslog"
"6103","solaris_bsm"
"6103","authentication_success"
"6104","syslog"
"6104","solaris_bsm"
"6104","authentication_failed"
"6105","syslog"
"6105","solaris_bsm"
"6105","authentication_success"
"6106","syslog"
"6106","solaris_bsm"
"6106","authentication_failed"
"6200","syslog"
"6200","asterisk"
"6201","syslog"
"6201","asterisk"
"6202","syslog"
"6202","asterisk"
"6203","syslog"
"6203","asterisk"
"6210","syslog"
"6210","asterisk"
"6210","authentication_failed"
"6211","syslog"
"6211","asterisk"
"6211","invalid_login"
"6212","syslog"
"6212","asterisk"
"6212","invalid_login"
"6250","syslog"
"6250","asterisk"
"6251","syslog"
"6251","asterisk"
"6252","syslog"
"6252","asterisk"
"6300","windows"
"6300","dhcp"
"6301","windows"
"6301","dhcp"
"6301","service_start"
"6302","windows"
"6302","dhcp"
"6302","service_availability"
"6303","windows"
"6303","dhcp"
"6303","system_error"
"6304","windows"
"6304","dhcp"
"6304","dhcp_lease_action"
"6305","windows"
"6305","dhcp"
"6305","dhcp_lease_action"
"6306","windows"
"6306","dhcp"
"6306","dhcp_lease_action"
"6307","windows"
"6307","dhcp"
"6307","dhcp_lease_action"
"6308","windows"
"6308","dhcp"
"6308","service_availability"
"6308","dhcp_lease_action"
"6309","windows"
"6309","dhcp"
"6309","dhcp_lease_action"
"6310","windows"
"6310","dhcp"
"6310","dhcp_lease_action"
"6311","windows"
"6311","dhcp"
"6311","dhcp_lease_action"
"6312","windows"
"6312","dhcp"
"6312","dhcp_lease_action"
"6313","windows"
"6313","dhcp"
"6313","dhcp_lease_action"
"6314","windows"
"6314","dhcp"
"6314","dhcp_lease_action"
"6315","windows"
"6315","dhcp"
"6315","dhcp_lease_action"
"6316","windows"
"6316","dhcp"
"6316","dhcp_maintenance"
"6317","windows"
"6317","dhcp"
"6317","dhcp_maintenance"
"6318","windows"
"6318","dhcp"
"6318","dhcp_dns_maintenance"
"6319","windows"
"6319","dhcp"
"6319","dhcp_dns_maintenance"
"6320","windows"
"6320","dhcp"
"6320","dhcp_dns_maintenance"
"6321","windows"
"6321","dhcp"
"6321","dhcp_rogue_server"
"6322","windows"
"6322","dhcp"
"6322","dhcp_lease_action"
"6322","dhcp_dns_maintenance"
"6323","windows"
"6323","dhcp"
"6323","dhcp_lease_action"
"6350","windows"
"6350","dhcp"
"6351","windows"
"6351","dhcp"
"6351","dhcp_ipv6"
"6352","windows"
"6352","dhcp"
"6352","dhcp_ipv6"
"6354","windows"
"6354","dhcp"
"6354","dhcp_ipv6"
"6355","windows"
"6355","dhcp"
"6355","dhcp_ipv6"
"6356","windows"
"6356","dhcp"
"6356","dhcp_ipv6"
"6357","windows"
"6357","dhcp"
"6357","dhcp_ipv6"
"6358","windows"
"6358","dhcp"
"6358","dhcp_ipv6"
"6359","windows"
"6359","dhcp"
"6359","dhcp_ipv6"
"6360","windows"
"6360","dhcp"
"6360","dhcp_ipv6"
"6361","windows"
"6361","dhcp"
"6361","service_start"
"6362","windows"
"6362","dhcp"
"6362","service_availability"
"6363","windows"
"6363","dhcp"
"6363","service_availability"
"6364","windows"
"6364","dhcp"
"6364","system_error"
"6365","windows"
"6365","dhcp"
"6365","dhcp_ipv6"
"6366","windows"
"6366","dhcp"
"6366","dhcp_ipv6"
"6367","windows"
"6367","dhcp"
"6367","dhcp_ipv6"
"6368","windows"
"6368","dhcp"
"6368","dhcp_ipv6"
"6369","windows"
"6369","dhcp"
"6369","dhcp_ipv6"
"6370","windows"
"6370","dhcp"
"6370","dhcp_ipv6"
"6371","windows"
"6371","dhcp"
"6371","dhcp_ipv6"
"6372","windows"
"6372","dhcp"
"6372","dhcp_ipv6"
"6373","windows"
"6373","dhcp"
"6373","dhcp_ipv6"
"6374","windows"
"6374","dhcp"
"6374","dhcp_ipv6"
"6376","windows"
"6376","dhcp"
"6376","dhcp_ipv6"
"7101","syslog"
"7101","tripwire"
"7200","syslog"
"7200","arpwatch"
"7201","syslog"
"7201","arpwatch"
"7201","new_host"
"7202","syslog"
"7202","arpwatch"
"7202","ip_spoof"
"7203","syslog"
"7203","arpwatch"
"7203","service_availability"
"7204","syslog"
"7204","arpwatch"
"7204","ip_spoof"
"7205","syslog"
"7205","arpwatch"
"7206","syslog"
"7206","arpwatch"
"7300","symantec"
"7301","symantec"
"7310","symantec"
"7310","virus"
"7320","symantec"
"7400","symantec"
"7410","symantec"
"7410","authentication_failed"
"7415","symantec"
"7415","authentication_success"
"7420","symantec"
"7420","authentication_success"
"7425","symantec"
"7500","mcafee"
"7501","mcafee"
"7502","mcafee"
"7503","mcafee"
"7504","mcafee"
"7504","virus"
"7505","mcafee"
"7505","virus"
"7506","mcafee"
"7506","virus"
"7507","mcafee"
"7508","mcafee"
"7509","mcafee"
"7510","mcafee"
"7511","mcafee"
"7513","mcafee"
"7514","mcafee"
"7550","mcafee"
"7600","trend_micro"
"7600","ocse"
"7610","trend_micro"
"7610","ocse"
"7610","virus"
"7611","trend_micro"
"7611","ocse"
"7611","virus"
"7612","trend_micro"
"7612","ocse"
"7613","trend_micro"
"7613","ocse"
"7701","windows"
"7701","mse"
"7710","windows"
"7710","mse"
"7710","virus"
"7711","windows"
"7711","mse"
"7711","virus"
"7712","windows"
"7712","mse"
"7712","virus"
"7720","windows"
"7720","mse"
"7720","policy_changed"
"7731","windows"
"7731","mse"
"7750","windows"
"7750","mse"
"7751","windows"
"7751","mse"
"9100","syslog"
"9100","pptp"
"9101","syslog"
"9101","pptp"
"9102","syslog"
"9102","pptp"
"9200","syslog"
"9200","squid"
"9201","syslog"
"9201","squid"
"9300","syslog"
"9300","hordeimp"
"9301","syslog"
"9301","hordeimp"
"9302","syslog"
"9302","hordeimp"
"9303","syslog"
"9303","hordeimp"
"9304","syslog"
"9304","hordeimp"
"9304","service_availability"
"9305","syslog"
"9305","hordeimp"
"9305","authentication_success"
"9306","syslog"
"9306","hordeimp"
"9306","authentication_failed"
"9351","syslog"
"9351","hordeimp"
"9351","authentication_failures"
"9352","syslog"
"9352","hordeimp"
"9352","service_availability"
"9400","syslog"
"9400","roundcube"
"9401","syslog"
"9401","roundcube"
"9401","authentication_failed"
"9402","syslog"
"9402","roundcube"
"9402","authentication_success"
"9500","syslog"
"9500","wordpress"
"9501","syslog"
"9501","wordpress"
"9501","authentication_failed"
"9502","syslog"
"9502","wordpress"
"9502","authentication_success"
"9503","syslog"
"9503","wordpress"
"9504","syslog"
"9504","wordpress"
"9505","syslog"
"9505","wordpress"
"9510","syslog"
"9510","wordpress"
"9551","syslog"
"9551","wordpress"
"9551","authentication_failures"
"9600","syslog"
"9600","cimserver"
"9610","syslog"
"9610","cimserver"
"9610","authentication_failed"
"9611","syslog"
"9611","cimserver"
"9611","service_availability"
"9700","dovecot"
"9701","dovecot"
"9701","authentication_success"
"9702","dovecot"
"9702","authentication_failed"
"9703","dovecot"
"9704","dovecot"
"9705","dovecot"
"9705","invalid_login"
"9705","authentication_failed"
"9706","dovecot"
"9707","dovecot"
"9707","invalid_login"
"9750","dovecot"
"9750","authentication_failures"
"9751","dovecot"
"9751","authentication_failures"
"9800","syslog"
"9800","vm-pop3d"
"9801","syslog"
"9801","vm-pop3d"
"9801","authentication_failed"
"9820","syslog"
"9820","vm-pop3d"
"9820","authentication_failures"
"9900","syslog"
"9900","vpopmail"
"9901","syslog"
"9901","vpopmail"
"9901","authentication_failed"
"9902","syslog"
"9902","vpopmail"
"9902","invalid_login"
"9903","syslog"
"9903","vpopmail"
"9903","authentication_failed"
"9904","syslog"
"9904","vpopmail"
"9904","authentication_success"
"9951","syslog"
"9951","vpopmail"
"9951","authentication_failures"
"9952","syslog"
"9952","vpopmail"
"9952","authentication_failures"
"9953","syslog"
"9953","vpopmail"
"9953","authentication_failures"
