"rule_number","ossec_group"
"18125","windows"
"18125","authentication_failed"
"18126","windows"
"18126","authentication_success"
"18127","windows"
"18127","account_changed"
"18128","windows"
"18128","account_changed"
"18129","windows"
"18129","low_diskspace"
"18130","windows"
"18130","win_authentication_failed"
"18131","windows"
"18131","win_authentication_failed"
"18131","login_denied"
"18132","windows"
"18132","win_authentication_failed"
"18132","login_denied"
"18133","windows"
"18133","win_authentication_failed"
"18133","login_denied"
"18134","windows"
"18134","win_authentication_failed"
"18134","login_denied"
"18135","windows"
"18135","win_authentication_failed"
"18136","windows"
"18136","win_authentication_failed"
"18137","windows"
"18137","win_authentication_failed"
"18138","windows"
"18138","win_authentication_failed"
"18139","windows"
"18139","win_authentication_failed"
"18140","windows"
"18140","time_changed"
"18141","windows"
"18141","system_error"
"18141","system_shutdown"
"18142","windows"
"18142","account_changed"
"18143","windows"
"18143","adduser"
"18143","account_changed"
"18144","windows"
"18144","adduser"
"18144","account_changed"
"18145","windows"
"18145","policy_changed"
"18146","windows"
"18147","windows"
"18148","windows"
"18149","windows"
"18151","windows"
"18152","windows"
"18152","authentication_failures"
"18153","windows"
"18154","windows"
"18155","windows"
"18156","windows"
"18156","authentication_failures"
"18170","windows"
"18170","win_authentication_failed"
"18170","attacks"
"18171","windows"
"18171","win_authentication_failed"
"18171","attacks"
"18172","windows"
"18172","win_authentication_failed"
"18172","attacks"
"18180","windows"
"18180","win_authentication_failed"
"18181","windows"
"18181","authentication_success"
"18200","windows"
"18200","group_created"
"18200","win_group_created"
"18201","windows"
"18201","group_deleted"
"18201","win_group_deleted"
"18202","windows"
"18202","group_created"
"18202","win_group_created"
"18203","windows"
"18203","group_changed"
"18203","win_group_changed"
"18204","windows"
"18204","group_changed"
"18204","win_group_changed"
"18205","windows"
"18205","group_deleted"
"18205","win_group_deleted"
"18206","windows"
"18206","group_created"
"18206","win_group_created"
"18207","windows"
"18207","group_changed"
"18207","win_group_changed"
"18208","windows"
"18208","group_changed"
"18208","win_group_changed"
"18209","windows"
"18209","group_deleted"
"18209","win_group_deleted"
